City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,college,64.8569,-147.8028,274.71,80,100,0.0,US,1698357240
83,sitka,57.0531,-135.33,282.09,49,0,0.0,US,1698356996
84,ushuaia,-54.8,-68.3,277.96,56,40,9.77,AR,1698357241
85,cooma,-36.2333,149.1333,281.79,50,67,2.87,AU,1698357241
86,ust-nera,64.5667,143.2,251.54,92,97,1.44,RU,1698357242
87,toliara,-23.35,43.6667,293.92,63,4,4.82,MG,1698357242
88,vorgashor,67.5833,63.95,263.09,95,100,3.4,RU,1698357243
89,st. john's,47.5649,-52.7093,283.53,92,100,4.12,CA,1698357050
90,akure,7.2526,5.1931,295.84,97,11,1.12,NG,1698357243
91,puerto ayora,-0.7393,-90.3518,302.13,88,33,3.58,EC,1698357244
92,utrik,11.2278,169.8474,301.01,79,70,5.28,MH,1698357244
93,jackson,42.4165,-122.8345,286.99,57,0,0.45,US,1698357234
94,puerto maldonado,-12.6,-69.1833,300.37,78,75,1.54,PE,1698357245
95,bengkulu,-3.8004,102.2655,296.36,93,40,2.03,ID,1698357187
96,seven pagodas,12.6264,80.1722,302.07,79,83,1.52,IN,1698357245
97,vilyuchinsk,52.9306,158.4028,274.78,72,4,2.62,RU,1698357246
98,gurlan,41.8447,60.3919,284.1,51,54,4.57,UZ,1698357246
99,kidal,18.4411,1.4078,301.83,11,69,3.68,ML,1698357246
100,port lincoln,-34.7333,135.8667,287.46,66,74,6.93,AU,1698357247
101,whitehorse,60.7161,-135.0538,269.58,80,75,4.63,CA,1698357175
102,udachny,66.4167,112.4,254.27,100,90,0.62,RU,1698357247
103,margaret river,-33.95,115.0667,286.46,52,85,5.14,AU,1698357247
104,alofi,-19.0595,-169.9187,298.09,65,75,8.75,NU,1698357248
105,atafu village,-8.5421,-172.5159,301.72,78,100,6.81,TK,1698357248
106,vedra,42.7782,-8.4764,287.96,91,40,2.57,ES,1698357248
107,nova sintra,14.8667,-24.7167,298.16,78,96,8.48,CV,1698357249
108,port mathurin,-19.6833,63.4167,297.48,76,33,6.3,MU,1698357249
109,tres palos,18.1833,-101.6167,299.2,87,89,1.38,MX,1698357249
110,freetown,8.484,-13.2299,300.99,83,40,3.09,SL,1698357250
111,saint-joseph,-21.3667,55.6167,296.36,84,5,0.72,RE,1698357250
112,tindouf,27.6711,-8.1474,299.4,14,0,3.6,DZ,1698357250
113,copala,16.65,-98.9833,301.2,76,90,3.4,MX,1698357251
114,el abiodh sidi cheikh,32.893,0.5484,292.44,23,65,2.24,DZ,1698357251
115,howard springs,-12.497,131.047,301.1,85,57,1.38,AU,1698357251
116,padang,-0.9492,100.3543,296.18,91,90,1.88,ID,1698357102
117,bilibino,68.0546,166.4372,254.32,100,91,1.28,RU,1698357252
118,hamilton,39.1834,-84.5333,297.17,60,75,5.66,US,1698357252
119,island harbour,50.724,-1.2758,284.81,94,72,3.83,GB,1698357252
120,pindwara,24.8,73.0667,294.72,29,1,1.59,IN,1698357253
121,iqaluit,63.7506,-68.5145,271.0,64,100,2.57,CA,1698357253
122,usogorsk,63.4106,48.6872,269.63,83,100,3.15,RU,1698357253
123,persianovka,47.5297,39.4183,289.51,94,100,2.79,RU,1698357254
124,vyaz'ma,55.2104,34.2951,270.57,94,100,5.62,RU,1698357254
125,queenstown,-31.8976,26.8753,291.88,41,82,0.5,ZA,1698357254
126,gouyave,12.1646,-61.7296,300.58,89,20,0.0,GD,1698357255
127,qaqortoq,60.7167,-46.0333,273.62,58,36,1.33,GL,1698357255
128,okhotsk,59.3833,143.3,269.3,92,100,5.11,RU,1698357255
129,ribeira grande,38.5167,-28.7,290.25,78,78,2.24,PT,1698357256
130,usinsk,65.9939,57.5281,263.19,95,83,4.47,RU,1698357256
131,punta arenas,-53.15,-70.9167,280.21,49,20,9.26,CL,1698357256
132,valga,57.7778,26.0473,271.48,84,99,1.34,EE,1698357257
133,vikulovo,56.8167,70.6107,267.42,87,100,8.1,RU,1698357257
134,pangody,65.85,74.4859,261.69,92,92,4.72,RU,1698357258
135,vrutky,49.1133,18.9171,287.47,97,100,1.92,SK,1698357258
136,makariv,50.4641,29.8113,284.92,95,100,5.06,UA,1698357259
137,papatowai,-46.5619,169.4708,277.14,71,81,9.53,NZ,1698357259
138,yeniseysk,58.4497,92.1703,282.56,83,100,5.81,RU,1698357259
139,itanhem,-17.1664,-40.33,298.4,83,99,0.89,BR,1698357260
140,mount isa,-20.7333,139.5,292.02,16,0,6.17,AU,1698357260
141,dellys,36.9172,3.9131,294.41,66,100,4.03,DZ,1698357260
142,alice springs,-23.7,133.8833,283.9,28,0,0.0,AU,1698357261
143,hawaiian paradise park,19.5933,-154.9731,300.88,89,100,3.09,US,1698357261
144,bonthe,7.5264,-12.505,299.15,88,67,1.93,SL,1698357262
145,chonchi,-42.6128,-73.8092,285.99,67,89,2.84,CL,1698357262
146,rongelap,11.1635,166.8941,300.92,70,85,5.33,MH,1698357262
147,port alfred,-33.5906,26.891,291.03,88,80,1.34,ZA,1698357263
148,konarka,19.9,86.1167,296.37,86,24,2.51,IN,1698357263
149,necochea,-38.5473,-58.7368,292.32,53,58,1.65,AR,1698357243
150,luganville,-15.5333,167.1667,301.31,73,100,1.62,VU,1698357263
151,nadym,65.5333,72.5167,263.81,90,98,3.79,RU,1698357264
152,tazovsky,67.4667,78.7,260.24,94,85,5.22,RU,1698357264
153,port elizabeth,-33.918,25.5701,290.55,89,0,6.17,ZA,1698357264
154,saipan,15.1355,145.701,301.54,89,40,3.09,MP,1698357264
155,uturoa,-16.7333,-151.4333,298.81,81,100,4.54,PF,1698357265
156,kalabo,-14.97,22.6814,299.4,29,45,2.54,ZM,1698357265
157,tolanaro,-25.0319,46.9987,295.19,64,40,3.09,MG,1698357265
158,ellsworth,44.5434,-68.4195,291.2,91,67,0.53,US,1698357266
159,aioun,16.6614,-9.6149,305.92,10,4,3.3,MR,1698357266
160,westerland,54.9079,8.3033,281.16,93,75,7.2,DE,1698357266
161,coahuayana de hidalgo,18.7,-103.6583,300.5,81,95,3.09,MX,1698357267
162,acarau,-2.8856,-40.12,299.02,77,7,7.27,BR,1698357267
163,sarupathar,26.1984,93.8094,292.05,96,3,0.81,IN,1698357267
164,weno,7.4515,151.8468,301.12,83,75,0.0,FM,1698357268
165,tanhacu,-14.0214,-41.2481,300.9,55,100,1.35,BR,1698357208
166,angra do heroismo,38.65,-27.2167,289.33,81,40,5.56,PT,1698357268
167,sychevka,55.8252,34.2736,270.71,95,100,5.98,RU,1698357269
168,balqash,46.8481,74.995,278.51,52,100,3.89,KZ,1698357269
169,sandnessjoen,66.0217,12.6316,273.21,86,0,1.54,NO,1698357270
170,selfoss,63.9331,-20.9971,276.51,77,75,2.8,IS,1698357270
171,cockburn town,21.4612,-71.1419,300.84,70,1,9.8,TC,1698357094
172,blytheville,35.9273,-89.919,300.4,44,75,4.63,US,1698357270
173,nar'yan-mar,67.6713,53.087,261.54,100,76,1.79,RU,1698357271
174,georgetown,5.4112,100.3354,298.72,91,20,1.03,MY,1698357271
175,saint-philippe,-21.3585,55.7679,296.92,84,8,2.75,RE,1698357271
176,aasiaat,68.7098,-52.8699,266.42,86,88,3.59,GL,1698357271
177,nieuw amsterdam,5.8833,-55.0833,307.24,55,20,2.06,SR,1698357272
178,dryden,49.7833,-92.7503,273.31,100,100,5.14,CA,1698357272
